Date;Symbol;Clos
2024-01-17;AAPL;182.45
2024-01-18;AAPL;188.39
2024-01-19;AAPL;191.32
2024-01-22;AAPL;193.64
2024-01-23;AAPL;194.93
2024-01-24;AAPL;194.25
2024-01-25;AAPL;193.92
2024-01-26;AAPL;192.17
2024-01-29;AAPL;191.49
2024-01-30;AAPL;187.8
2024-01-31;AAPL;184.17
2024-02-01;AAPL;186.62
2024-02-02;AAPL;185.61
2024-02-05;AAPL;187.44
2024-02-06;AAPL;189.06
2024-02-07;AAPL;189.17
2024-02-08;AAPL;188.08
2024-02-09;AAPL;188.85
2024-02-12;AAPL;187.15
2024-02-13;AAPL;185.04
2024-02-14;AAPL;184.15
2024-02-15;AAPL;183.86
2024-02-16;AAPL;182.31
2024-02-20;AAPL;181.56
2024-02-21;AAPL;182.32
2024-02-22;AAPL;184.37
2024-02-23;AAPL;182.52
2024-02-26;AAPL;181.16
2024-02-27;AAPL;182.63
2024-02-28;AAPL;181.42
2024-02-29;AAPL;180.75
2024-03-01;AAPL;179.66
2024-03-04;AAPL;175.1
2024-03-05;AAPL;170.12
2024-03-06;AAPL;169.12
2024-03-07;AAPL;169
2024-03-08;AAPL;170.73
2024-03-11;AAPL;172.75
2024-03-12;AAPL;173.23
2024-03-13;AAPL;171.13
2024-03-14;AAPL;173
2024-03-15;AAPL;172.62
2024-03-18;AAPL;173.72
2024-03-19;AAPL;176.08
2024-03-20;AAPL;178.67
2024-03-21;AAPL;171.37
2024-03-22;AAPL;172.28
2024-03-25;AAPL;170.85
2024-03-26;AAPL;169.71
2024-03-27;AAPL;173.31
2024-03-28;AAPL;171.48
2024-01-02;ABBV;156.84
2024-01-03;ABBV;157.47
2024-01-04;ABBV;158.45
2024-01-05;ABBV;159.12
2024-01-08;ABBV;158.42
2024-01-09;ABBV;159.29
2024-01-10;ABBV;161.82
2024-01-11;ABBV;160.73
2024-01-12;ABBV;160.9
2024-01-16;ABBV;159.99
2024-01-17;ABBV;160.54
2024-01-18;ABBV;161.79
2024-01-19;ABBV;163.25
2024-01-22;ABBV;163.86
2024-01-23;ABBV;165.95
2024-01-24;ABBV;162.7
2024-01-25;ABBV;163.6
2024-01-26;ABBV;162.88
2024-01-29;ABBV;162.39
2024-01-30;ABBV;163.39
2024-01-31;ABBV;162.88
2024-02-01;ABBV;166.04
2024-02-02;ABBV;167.11
2024-02-05;ABBV;169.68
2024-02-06;ABBV;171.69
2024-02-07;ABBV;173.39
2024-02-08;ABBV;173.17
2024-02-09;ABBV;172.47
2024-02-12;ABBV;171.47
2024-02-13;ABBV;171.69
2024-02-14;ABBV;172.81
2024-02-15;ABBV;174.96
2024-02-16;ABBV;175.85
2024-02-20;ABBV;174.12
2024-02-21;ABBV;173.52
2024-02-22;ABBV;175.11
2024-02-23;ABBV;176.44
2024-02-26;ABBV;177.16
2024-02-27;ABBV;177.33
2024-02-28;ABBV;176.35
2024-02-29;ABBV;174.42
2024-03-01;ABBV;177.25
2024-03-04;ABBV;175.41
2024-03-05;ABBV;177.5
2024-03-06;ABBV;179.38
2024-03-07;ABBV;178.9
2024-03-08;ABBV;177.2
2024-03-11;ABBV;177.97
2024-03-12;ABBV;179.25
2024-03-13;ABBV;178.2
2024-03-14;ABBV;179.52
2024-03-15;ABBV;176.23
2024-03-18;ABBV;176.84
2024-03-19;ABBV;178
2024-03-20;ABBV;174.64
2024-03-21;ABBV;175.86
2024-03-22;ABBV;176.8
2024-03-25;ABBV;176.88
2024-03-26;ABBV;177.53
2024-03-27;ABBV;178.68
2024-03-28;ABBV;180.42
2024-01-02;ABT;108.78
2024-01-03;ABT;108.46
2024-01-04;ABT;109.9
2024-01-05;ABT;109.72
2024-01-08;ABT;111.31
2024-01-09;ABT;111.63
2024-01-10;ABT;113.29
2024-01-11;ABT;112.94
2024-01-12;ABT;113.36
2024-01-16;ABT;113.2
2024-01-17;ABT;113.37
2024-01-18;ABT;113.46
2024-01-19;ABT;114.12
2024-01-22;ABT;113.63
2024-01-23;ABT;113.44
2024-01-24;ABT;110.22
2024-01-25;ABT;111.9
2024-01-26;ABT;111.46
2024-01-29;ABT;112.89
2024-01-30;ABT;112.92
2024-01-31;ABT;112.59
2024-02-01;ABT;113.93
2024-02-02;ABT;111.56
2024-02-05;ABT;111.1
2024-02-06;ABT;113.44
2024-02-07;ABT;112.75
2024-02-08;ABT;111.88
2024-02-09;ABT;111.26
2024-02-12;ABT;111.97
2024-02-13;ABT;110.79
2024-02-14;ABT;111.51
2024-02-15;ABT;113.08
2024-02-16;ABT;113.45
2024-02-20;ABT;116.06
2024-02-21;ABT;117.29
2024-02-22;ABT;118.43
2024-02-23;ABT;118.87
2024-02-26;ABT;118.1
2024-02-27;ABT;118.81
2024-02-28;ABT;119.46
2024-02-29;ABT;118.05
2024-03-01;ABT;118.03
2024-03-04;ABT;119.45
2024-03-05;ABT;117.9
2024-03-06;ABT;118.75
