Ticker;Data;Close
A;2/01/2024;138,525
A;3/01/2024;130,9473
A;4/01/2024;130,7875
A;5/01/2024;130,3482
A;8/01/2024;133,1637
A;9/01/2024;130,468
A;10/01/2024;130,8774
A;11/01/2024;129,4697
A;12/01/2024;130,3283
A;16/01/2024;130,3183
A;17/01/2024;127,9122
A;18/01/2024;130,2484
A;19/01/2024;131,0072
A;22/01/2024;132,335
A;23/01/2024;131,4265
A;24/01/2024;129,5695
A;25/01/2024;129,6694
A;26/01/2024;130,7776
A;29/01/2024;132,6146
A;30/01/2024;134,0622
A;31/01/2024;129,889
A;1/02/2024;132,8342
A;2/02/2024;132,7543
A;5/02/2024;132,6046
A;6/02/2024;135,6396
A;7/02/2024;132,5746
A;8/02/2024;133,8526
A;9/02/2024;133,1237
A;12/02/2024;132,0954
A;13/02/2024;129,5495
A;14/02/2024;132,0255
A;15/02/2024;134,5314
A;16/02/2024;134,6213
A;20/02/2024;133,9224
A;21/02/2024;135,1105
A;22/02/2024;131,8059
A;23/02/2024;131,8159
A;26/02/2024;131,2767
A;27/02/2024;132,335
A;28/02/2024;136,7878
A;29/02/2024;137,1372
A;1/03/2024;138,8345
A;4/03/2024;142,6283
A;5/03/2024;144,1159
A;6/03/2024;145,9828
A;7/03/2024;149,0678
A;8/03/2024;147,6302
A;11/03/2024;147,0511
A;12/03/2024;147,6002
A;13/03/2024;147,5803
A;14/03/2024;144,9745
A;15/03/2024;147,2408
A;18/03/2024;145,8531
A;19/03/2024;147,1509
A;20/03/2024;147,0411
A;21/03/2024;148,4988
A;22/03/2024;147,2108
A;25/03/2024;145,3239
A;26/03/2024;144,1758
A;27/03/2024;147,131
A;28/03/2024;145,274
AAL;2/01/2024;13,44
AAL;3/01/2024;12,95
AAL;4/01/2024;13,09
AAL;5/01/2024;13,6
AAL;8/01/2024;14,58
AAL;9/01/2024;14,38
AAL;10/01/2024;14,35
AAL;11/01/2024;14,59
AAL;12/01/2024;13,21
AAL;16/01/2024;13,19
AAL;17/01/2024;12,93
AAL;18/01/2024;13,82
AAL;19/01/2024;13,66
AAL;22/01/2024;13,62
AAL;23/01/2024;14
AAL;24/01/2024;13,93
AAL;25/01/2024;15,36
AAL;26/01/2024;15,13
AAL;29/01/2024;14,94
AAL;30/01/2024;14,53
AAL;31/01/2024;14,23
AAL;1/02/2024;14,34
AAL;2/02/2024;14,56
AAL;5/02/2024;14,26
AAL;6/02/2024;14,9
AAL;7/02/2024;14,91
AAL;8/02/2024;14,95
AAL;9/02/2024;14,88
AAL;12/02/2024;14,93
AAL;13/02/2024;14,61
AAL;14/02/2024;14,86
AAL;15/02/2024;14,9
AAL;16/02/2024;14,64
AAL;20/02/2024;14,7
AAL;21/02/2024;14,79
AAL;22/02/2024;15,24
AAL;23/02/2024;15,13
AAL;26/02/2024;15,28
AAL;27/02/2024;15,54
AAL;28/02/2024;15,46
AAL;29/02/2024;15,68
AAL;1/03/2024;15,66
AAL;4/03/2024;14,81
AAL;5/03/2024;14,67
AAL;6/03/2024;14,88
AAL;7/03/2024;14,9
AAL;8/03/2024;14,68
AAL;11/03/2024;14,65
AAL;12/03/2024;13,96
AAL;13/03/2024;14
AAL;14/03/2024;13,99
AAL;15/03/2024;13,96
AAL;18/03/2024;14,11
AAL;19/03/2024;13,93
AAL;20/03/2024;14,57
AAL;21/03/2024;14,78
AAL;22/03/2024;14,82
AAL;25/03/2024;14,92
AAL;26/03/2024;14,92
AAL;27/03/2024;15,3
AAL;28/03/2024;15,35
AAP;2/01/2024;61,4982
AAP;3/01/2024;60,5551
AAP;4/01/2024;60,0488
AAP;5/01/2024;61,0713
AAP;8/01/2024;61,4584
AAP;9/01/2024;60,9422
AAP;10/01/2024;60,5352
AAP;11/01/2024;62,2298
AAP;12/01/2024;61,1034
AAP;16/01/2024;61,2031
AAP;17/01/2024;60,8442
AAP;18/01/2024;61,9706
AAP;19/01/2024;63,5455
AAP;22/01/2024;65,2301
AAP;23/01/2024;65,8681
AAP;24/01/2024;65,2301
AAP;25/01/2024;65,9179
AAP;26/01/2024;66,0375
AAP;29/01/2024;66,7452
AAP;30/01/2024;67,0343
AAP;31/01/2024;66,6356
AAP;1/02/2024;69,0179
AAP;2/02/2024;67,5726
AAP;5/02/2024;64,9211
AAP;6/02/2024;66,1571
AAP;7/02/2024;65,878
AAP;8/02/2024;63,9343
AAP;9/02/2024;63,097
AAP;12/02/2024;65,8382
AAP;13/02/2024;64,2234
AAP;14/02/2024;64,0539
AAP;15/02/2024;64,4427
AAP;16/02/2024;64,2832
AAP;20/02/2024;61,6118
AAP;21/02/2024;60,9738
AAP;22/02/2024;60,4954
AAP;23/02/2024;60,904
AAP;26/02/2024;60,1465
AAP;27/02/2024;64,5423
AAP;28/02/2024;66,207
AAP;29/02/2024;67,3234
AAP;1/03/2024;69,0379
AAP;4/03/2024;69,4366
AAP;5/03/2024;72,427
AAP;6/03/2024;71,6694
AAP;7/03/2024;73,4437
AAP;8/03/2024;72,8456
AAP;11/03/2024;75,527
AAP;12/03/2024;78,2283
AAP;13/03/2024;79,6537
AAP;14/03/2024;79,2749
AAP;15/03/2024;81,5077
AAP;18/03/2024;83,92
AAP;19/03/2024;83,5611
AAP;20/03/2024;84,5679
AAP;21/03/2024;86,1727
AAP;22/03/2024;85,485
AAP;25/03/2024;83,9798
AAP;26/03/2024;83,9798
AAP;27/03/2024;85,0464
AAP;28/03/2024;84,8171
AAPL;2/01/2024;185,4034
AAPL;3/01/2024;184,0152
AAPL;4/01/2024;181,6782
AAPL;5/01/2024;180,9491
AAPL;8/01/2024;185,3235
AAPL;9/01/2024;184,9041
AAPL;10/01/2024;185,9527
AAPL;11/01/2024;185,3535
AAPL;12/01/2024;185,6831
AAPL;16/01/2024;183,396
AAPL;17/01/2024;182,4472
AAPL;18/01/2024;188,3896
AAPL;19/01/2024;191,3159
AAPL;22/01/2024;193,6429
AAPL;23/01/2024;194,9313
AAPL;24/01/2024;194,2521
AAPL;25/01/2024;193,9225
AAPL;26/01/2024;192,1748
AAPL;29/01/2024;191,4857
AAPL;30/01/2024;187,8004
AAPL;31/01/2024;184,165
AAPL;1/02/2024;186,6219
AAPL;2/02/2024;185,6132
AAPL;5/02/2024;187,4408
AAPL;6/02/2024;189,0588
AAPL;7/02/2024;189,1686
AAPL;8/02/2024;188,08
AAPL;9/02/2024;188,85
AAPL;12/02/2024;187,15
AAPL;13/02/2024;185,04
AAPL;14/02/2024;184,15
AAPL;15/02/2024;183,86
AAPL;16/02/2024;182,31
AAPL;20/02/2024;181,56
AAPL;21/02/2024;182,32
AAPL;22/02/2024;184,37
AAPL;23/02/2024;182,52
AAPL;26/02/2024;181,16
AAPL;27/02/2024;182,63
AAPL;28/02/2024;181,42
AAPL;29/02/2024;180,75
AAPL;1/03/2024;179,66
AAPL;4/03/2024;175,1
AAPL;5/03/2024;170,12
AAPL;6/03/2024;169,12
AAPL;7/03/2024;169
AAPL;8/03/2024;170,73
AAPL;11/03/2024;172,75
AAPL;12/03/2024;173,23
AAPL;13/03/2024;171,13
AAPL;14/03/2024;173
AAPL;15/03/2024;172,62
AAPL;18/03/2024;173,72
AAPL;19/03/2024;176,08
AAPL;20/03/2024;178,67
AAPL;21/03/2024;171,37
AAPL;22/03/2024;172,28
AAPL;25/03/2024;170,85
AAPL;26/03/2024;169,71
AAPL;27/03/2024;173,31
AAPL;28/03/2024;171,48
